,직무,직무별 스택,빈도수
1006,보안,클라우드시스템,1
1007,보안,서버,2
1008,보안,방화벽,1
1009,보안,CERT,1
1010,보안,해킹,1
1011,보안,iOS 앱개발,1
1012,보안,Android 개발,1
1013,보안,restful api,1
1014,보안,앱배포,1
1015,보안,isms,1
1016,보안,정보보호,3
1017,보안,시장조사,1
1018,보안,제안서,1
1019,보안,경쟁사분석,1
1020,보안,IT영업,1
1021,보안,NAC,1
1022,보안,유지보수,1
1023,보안,솔루션 구축,2
1024,보안,devops,4
1025,보안,B2B,1
1026,보안,API,2
1027,보안,ISO27001,1
1028,보안,isms-p,1
1029,보안,PCI-DSS,1
1030,보안,ISO27701,1
1031,보안,Infrastructure as Code,1
1032,보안,Javascript,3
1033,보안,typescript,4
1034,보안,Golang,1
1035,보안,nest.js,1
1036,보안,컨설팅,1
1037,보안,dbms,1
1038,보안,pm,1
1039,보안,Angular,1
1040,보안,vue,1
1041,보안,node,1
1042,보안,풀스택 개발,1
1043,보안,SaaS,1
1044,보안,terraform,3
1045,보안,gcp,2
1046,보안,서비스기획,1
1047,보안,영업지원,1
1048,보안,영업기획,1
1049,보안,영업관리,1
1050,보안,국내영업,1
1051,보안,siem,1
1052,보안,SOAR,1
1053,보안,JIRA,1
1054,보안,ruby on rails,1
1055,보안,github,3
1056,보안,인프라관리,2
1057,보안,IT운영,1
1058,보안,디바이스관리,1
1059,보안,펌웨어 개발,1
1060,보안,펌웨어,2
1061,보안,펌웨어설계,1
1062,보안,service,1
1063,보안,rest,1
1064,보안,library,1
1065,보안,SOAP,1
1066,보안,core,1
1067,보안,OutSystems,1
1068,보안,기획,2
1069,보안,사업기획,1
1070,보안,해외사업,1
1071,보안,해외사업개발,1
1072,보안,MFC,1
1073,보안,L2,1
1074,보안,L3,1
1075,보안,TCP/IP,1
1076,보안,graphql,3
1077,보안,퍼블릭 클라우드,1
1078,보안,B2B영업,1
1079,보안,채널관리,1
1080,보안,인재관리,1
1081,보안,팀원관리,1
1082,보안,영업전략수립 및 수행,1
1083,보안,인사,1
1084,보안,사무보조,1
1085,보안,노무관리,1
1086,보안,노무,1
1087,보안,사무직 총무 사무보조,1
1088,보안,node.js,3
1089,보안,mariadb,1
1090,보안,typeorm,1
1091,보안,영어,1
1092,보안,백엔드,3
1093,보안,백엔드 개발,2
1094,보안,재무,1
1095,보안,투자,1
1096,보안,계획수립,1
1097,보안,재무분석,1
1098,보안,IT인프라,1
1099,보안,자산운용,2
1100,보안,품질관리,1
1101,보안,의료기기,1
1102,보안,의료기기 인허가,1
1103,보안,PostgreSQL,4
1104,보안,Php,1
1105,보안,rest api,2
1106,보안,침해사고,1
1107,보안,침해사고분석,1
1108,보안,사이버보안,1
1109,보안,멀웨어,1
1110,보안,총무,2
1111,보안,채권관리,1
1112,보안,금융,1
1113,보안,투자자산운용사,1
1114,보안,리스크관리,1
1115,보안,PI,1
1116,보안,PI컨설턴트,1
1117,보안,OS,1
1118,보안,운영체제,1
1119,보안,helpdesk,1
1120,보안,webpack,1
1121,보안,Recoil,1
1122,보안,jotai,1
1123,보안,인프라,1
1124,보안,네트워크 운영,1
1125,보안,네트워크 관리,1
1126,보안,인프라운영,1
1127,보안,네트워크 인프라,1
1128,보안,경영지원,1
1129,보안,사무,1
1130,보안,자산관리,1
1131,보안,Cloud,1
1132,보안,Infrastructure,1
1133,보안,해킹대응,1
1134,보안,grafana,1
1135,보안,CI/CD,2
1136,보안,Prometheus,1
1137,보안,시설관리,1
1138,보안,고객서비스,1
1139,보안,고객응대,2
1140,보안,공간관리,1
1141,보안,보안 컨설팅,1
1142,보안,정보보호 관리체계,1
1143,보안,광고기획,1
1144,보안,공간 관리,1
1145,보안,공간 운영,1
1146,보안,MYSQL,1
1147,보안,DB,1
1148,보안,프론트엔드 개발,1
1149,보안,Tensorflow,1
1150,보안,Pytorch,1
1151,보안,airflow,2
1152,보안,ONNX,1
1153,보안,Mlflow,2
1154,보안,급여,1
1155,보안,4대보험,1
1156,보안,HR,1
1157,보안,인사기획,1
1158,보안,payroll,1
1159,보안,브랜딩,1
1160,보안,퍼포먼스마케팅,1
1161,보안,브랜드마케팅,1
1162,보안,온프레미스,1
1163,보안,cad,1
1164,보안,기구설계,1
1165,보안,Autocad,1
1166,보안,일반기계기사,1
1167,보안,2D설계,1
1168,보안,Product manager,1
1169,보안,클라우드 인프라,1
1170,보안,CS,1
1171,보안,예약관리,1
1172,보안,공간운영,1
1173,보안,java,1
1174,보안,C#,1
1175,보안,git,1
1176,보안,회로설계,1
1177,보안,법무,1
1178,보안,법률자문,1
1179,보안,법무팀,1
1180,보안,변호사,1
1181,보안,Platform Engineering,1
1182,보안,keycloak,1
1183,보안,Github/Gitea,1
1184,보안,SQL,1
1185,보안,FastAPI,1
1186,보안,slack,1
1187,보안,Microsoft Office,1
1188,보안,notion,1
1189,보안,Google Workspace,1
1190,보안,Spring,1
1191,보안,spring boot,1
1192,보안,교육,1
1193,보안,교육운영,1
1194,보안,최적화,1
1195,보안,표준화,1
1196,보안,교수설계,1
1197,보안,서비스,1
